AGE,GENDER,EDUCATION,ETHNICITY,SHIPLEY,HLVA,FACTOR3,NATIVE.LANGUAGE,ResponseId,study
19,Female,Further,White,39,10,30,English,R_3Rg3BpefTQXB6YC,PSYC122
19,Female,Further,White,32,8,40,English,R_2eRTG8ZkHHNGxOZ,PSYC122
18,Male,Secondary,White,28,8,47,English,R_r8S07gbNxmlBtAt,PSYC122
19,Prefer-not-to-say,Further,White,40,9,62,English,R_2OZw1R23oB0NTYg,PSYC122
18,Female,Further,White,33,12,56,Other,R_1eJER0Z4zgDssfU,PSYC122
19,Male,Secondary,Asian,34,6,36,Other,R_12mP5jzvMLmsGD5,PSYC122
18,Female,Secondary,White,37,9,43,Other,R_2l4IILs3hL8ao8h,PSYC122
18,Female,Further,White,30,7,46,English,R_21sKWpHKVNSCtU4,PSYC122
19,Female,Further,White,39,11,45,English,R_3hciYdallSGaEYy,PSYC122
23,Female,Further,White,31,4,32,English,R_12b78sFruyrzt4w,PSYC122
25,Male,Further,Mixed,39,9,47,English,R_2rCa7Xf0hhZjAWq,PSYC122
18,Female,Further,White,32,11,47,English,R_3q8UXObXG8gZRY5,PSYC122
18,Female,Secondary,Asian,24,7,45,Other,R_2VqAwTruU24iUQd,PSYC122
20,Female,Further,White,34,11,47,English,R_2dFI4DhPOCIXoGV,PSYC122
18,Male,Further,White,28,6,42,English,R_3KvxSZJDkYxdXPf,PSYC122
20,Male,Secondary,White,33,7,53,Other,R_1q1Yrwtj9lXHcHk,PSYC122
19,Non-Binary,Further,White,36,6,55,English,R_1r2HguYY30sVrXs,PSYC122
20,Female,Further,White,31,9,39,English,R_8czz7lYV08PWh1f,PSYC122
18,Female,Further,White,39,8,46,English,R_1g6crttadTjWgMY,PSYC122
18,Female,Further,White,28,12,48,English,R_1Do1pogCuXE1We0,PSYC122
18,Female,Further,White,34,10,49,English,R_3Eyc0RIYODwm5iO,PSYC122
25,Female,Further,Mixed,40,8,43,English,R_12PgNzdfzL8EByX,PSYC122
18,Female,Secondary,Asian,38,11,36,Other,R_22qOLncTLYQphi4,PSYC122
18,Female,Further,White,32,7,52,English,R_3JdZ7rAun39lYSt,PSYC122
19,Female,Further,Asian,28,5,39,English,R_3fuTGE5oTmQjIw6,PSYC122
18,Female,Further,Black,35,9,48,English,R_1pxHWFyjwJ7VNfw,PSYC122
21,Female,Further,Asian,37,11,61,Other,R_PTEJdKij0QzjAWZ,PSYC122
19,Female,Further,White,38,11,45,English,R_3RjwkvI2VVSQlEO,PSYC122
18,Male,Further,White,33,9,55,English,R_0kCcMNrjhPjYhLr,PSYC122
20,Female,Further,White,39,9,45,Other,R_3MQdBMR4WKOVEpe,PSYC122
19,Female,Further,White,29,8,44,English,R_VWllCG9OHI1KSbf,PSYC122
18,Female,Further,White,38,9,39,English,R_2YzVLA6HYLyi2x1,PSYC122
19,Female,Further,White,33,8,41,Other,R_10qKv1pN3DZeQwg,PSYC122
20,Female,Further,Asian,26,8,59,English,R_sKW4OJnOlidPxrH,PSYC304.cs
21,Female,Higher,Asian,26,6,51,Other,R_27paPJzIutLoqk8,PSYC304.cs
20,Male,Higher,Asian,27,4,50,Other,R_1nW0lpFdfumlI1p,PSYC304.cs
18,Female,Further,Asian,26,11,43,Other,R_31ZqPQpNEEapoW8,PSYC304.cs
20,Female,Secondary,Asian,27,8,42,Other,R_2whvE2IW90nj2P7,PSYC304.cs
20,Female,Higher,Asian,39,10,39,Other,R_3CAxrri9clBT7sl,PSYC304.cs
57,Female,Higher,Asian,39,8,45,Other,R_UhyqGKcKJ8p4dDr,PSYC304.cs
18,Male,Secondary,Asian,25,10,52,Other,R_1FnqgQlxslB298R,PSYC304.cs
21,Male,Secondary,Asian,24,4,43,Other,R_3dJGNr1UEEE3fl9,PSYC304.cs
21,Female,Secondary,Asian,22,7,42,Other,R_2Y6aKmGIeJhYCNc,PSYC304.cs
20,Female,Higher,Asian,37,8,46,Other,R_eYaltNtJrPPXgoF,PSYC304.cs
52,Female,Higher,Asian,34,10,52,Other,R_1pmKyUPkrHg2rjr,PSYC304.cs
21,Female,Higher,Asian,26,8,44,Other,R_2tEW8N2eNJHwPJA,PSYC304.cs
20,Female,Secondary,Asian,26,9,40,Other,R_3lM8w5XU7D1CGj3,PSYC304.cs
22,Female,Secondary,Asian,35,11,48,Other,R_pMA0LDHn8KbHNeN,PSYC304.cs
51,Female,Higher,Asian,32,8,36,Other,R_3stxZFOfbrU4mHk,PSYC304.cs
20,Female,Higher,Asian,28,8,49,Other,R_1i9Ty6GnJIs6qMc,PSYC304.cs
19,Female,Secondary,Asian,40,8,53,Other,R_3qvvV7lL3jm8XNP,PSYC304.cs
49,Female,Higher,Asian,26,10,49,Other,R_265zBlSCe6PqIu2,PSYC304.cs
19,Female,Secondary,Asian,37,10,41,Other,R_1po1DayReBfW3u4,PSYC304.cs
53,Male,Higher,Asian,39,8,50,Other,R_1pssSXzph4D5IHW,PSYC304.cs
21,Female,Secondary,Asian,23,4,34,Other,R_2qdsiKfgWqsn40x,PSYC304.cs
24,Male,Higher,Asian,36,5,42,Other,R_3I4zcqoIHLLFx6q,PSYC304.cs
27,Male,Higher,Asian,38,10,53,Other,R_1ez0Etk9gSubiw0,PSYC304.cs
19,Female,Further,Asian,37,8,58,Other,R_1jfBDhcO8uTKS7a,PSYC304.cs
19,Female,Secondary,White,24,4,43,English,R_2vcX7u14rsLAfCa,PSYC304.jg
40,Male,Secondary,White,36,8,27,English,R_vYzUdLunFc0wl7H,PSYC304.jg
21,Male,Further,White,38,10,60,English,R_pcQphFanbDZMJRT,PSYC304.jg
20,Male,Further,White,31,3,44,English,R_1OHxHYQG0Tx6MZc,PSYC304.jg
21,Male,Further,White,34,6,49,English,R_1gBZQCucJz02z0K,PSYC304.jg
20,Male,Higher,White,35,11,59,English,R_2WD2QTvD4pck0TH,PSYC304.jg
51,Female,Further,White,40,5,55,English,R_32SbuBXjNOg1goH,PSYC304.jg
20,Female,Further,White,32,8,47,English,R_3kijxgi0UZM6ciE,PSYC304.jg
21,Male,Further,White,34,13,51,English,R_3DvZ21XBACVV7pX,PSYC304.jg
37,Female,Further,White,34,7,59,English,R_BtsL9imuAm45JTj,PSYC304.jg
51,Male,Further,White,39,10,48,English,R_8J8a1r8nU8zdTKF,PSYC304.jg
21,Female,Further,White,39,11,49,English,R_3Pbgt8btS8lmkto,PSYC304.jg
