participant_ID,mean.acc,mean.self,study,AGE,SHIPLEY,HLVA,FACTOR3,QRITOTAL,GENDER,EDUCATION,ETHNICITY
studytwo.159,0.7321428571428571,6.7857142857142865,studytwo,36,29,4,47,15,Female,Higher,Asian
studytwo.16,0.8035714285714286,7.857142857142857,studytwo,30,38,9,62,10,Male,Further,White
studytwo.160,0.8214285714285714,7.642857142857143,studytwo,48,38,13,55,16,Female,Higher,White
studytwo.161,0.8928571428571429,8.071428571428571,studytwo,46,36,10,57,16,Female,Higher,White
studytwo.162,0.75,6.928571428571429,studytwo,52,38,9,49,13,Female,Secondary,White
studytwo.163,0.9464285714285714,7.857142857142857,studytwo,44,39,13,49,20,Female,Higher,White
studytwo.164,0.7678571428571429,8.642857142857142,studytwo,57,36,12,50,13,Male,Further,White
studytwo.165,0.7857142857142857,8.285714285714286,studytwo,36,37,7,57,14,Male,Higher,Asian
studytwo.166,0.8571428571428571,6.142857142857143,studytwo,29,37,9,56,18,Female,Higher,White
studytwo.167,0.8392857142857143,8.785714285714286,studytwo,38,36,10,56,17,Female,Higher,White
studytwo.168,0.8035714285714286,7.571428571428571,studytwo,37,38,6,50,12,Female,Higher,Black
studytwo.169,0.9285714285714286,7.785714285714286,studytwo,45,39,10,59,16,Female,Higher,Asian
studytwo.17,0.7142857142857143,9,studytwo,59,39,10,55,13,Female,Further,White
studytwo.170,0.8392857142857143,6.357142857142857,studytwo,28,32,6,42,13,Male,Further,White
studytwo.171,0.5357142857142858,5.928571428571429,studytwo,34,30,11,50,13,Male,Secondary,White
studytwo.172,0.7857142857142858,7.5,studytwo,40,37,11,50,18,Male,Higher,White
studytwo.18,0.7321428571428571,7.5,studytwo,38,36,6,49,13,Male,Higher,White
studytwo.19,0.625,5.357142857142857,studytwo,43,39,10,35,17,Female,Secondary,White
studytwo.2,0.6428571428571429,4.5,studytwo,25,34,8,50,13,Male,Further,White
studytwo.20,0.7678571428571429,5.214285714285714,studytwo,33,37,8,42,13,Female,Further,White
studytwo.21,0.6785714285714285,4.7142857142857135,studytwo,28,37,9,51,11,Female,Higher,White
studytwo.22,0.8392857142857143,8.142857142857142,studytwo,19,34,11,50,18,Male,Further,White
studytwo.23,0.6071428571428571,6,studytwo,46,35,9,47,14,Male,Further,White
studytwo.24,0.5714285714285714,4.642857142857143,studytwo,20,27,10,31,12,Female,Higher,Black
studytwo.25,0.875,7.214285714285714,studytwo,22,39,12,46,17,Male,Higher,White
studytwo.26,0.6071428571428572,7.785714285714286,studytwo,32,32,7,52,14,Female,Further,White
studytwo.27,0.8035714285714285,8.071428571428571,studytwo,23,40,10,59,11,Female,Higher,White
studytwo.28,0.5178571428571429,5.571428571428571,studytwo,18,26,8,58,13,Male,Further,White
studytwo.29,0.7857142857142858,7.928571428571428,studytwo,50,35,9,50,13,Female,Further,White
studytwo.3,0.6785714285714286,8,studytwo,50,35,11,52,10,Male,Higher,White
studytwo.30,0.8214285714285714,9,studytwo,33,33,8,46,16,Female,Secondary,White
studytwo.31,0.8571428571428571,6.714285714285714,studytwo,20,40,12,52,16,Female,Further,Asian
studytwo.32,0.7321428571428571,6.2857142857142865,studytwo,39,35,5,44,11,Male,Higher,White
studytwo.33,0.8035714285714286,7.642857142857143,studytwo,37,39,13,55,10,Female,Higher,White
studytwo.34,0.9107142857142857,7.928571428571429,studytwo,24,39,11,56,12,Female,Further,White
studytwo.35,0.8571428571428571,7.571428571428571,studytwo,54,37,8,55,13,Male,Higher,White
studytwo.36,0.9464285714285714,9,studytwo,25,34,11,51,16,Female,Higher,White
studytwo.37,0.9285714285714286,7,studytwo,42,40,11,53,17,Male,Higher,White
studytwo.38,0.7857142857142858,7.2857142857142865,studytwo,64,40,10,57,12,Female,Further,White
studytwo.39,0.9107142857142858,8.428571428571429,studytwo,24,33,11,56,15,Female,Higher,White
studytwo.4,0.625,5.7857142857142865,studytwo,35,38,10,37,16,Female,Higher,White
studytwo.40,0.625,4.357142857142857,studytwo,47,31,9,41,9,Female,Higher,White
studytwo.41,0.8928571428571429,7.928571428571429,studytwo,57,38,10,57,15,Female,Higher,Black
studytwo.42,0.7678571428571429,8.357142857142858,studytwo,63,40,10,40,16,Male,Higher,White
studytwo.43,0.9285714285714286,7.857142857142857,studytwo,45,40,12,57,18,Female,Further,White
studytwo.44,0.8214285714285715,7.571428571428571,studytwo,22,39,10,46,19,Male,Further,Black
studytwo.45,0.6071428571428571,4.857142857142857,studytwo,23,37,9,44,12,Male,Higher,Asian
studytwo.46,0.5892857142857142,4.142857142857143,studytwo,23,37,8,48,11,Female,Higher,Asian
studytwo.47,0.8214285714285714,7.928571428571429,studytwo,56,35,14,61,9,Male,Further,White
studytwo.48,0.8214285714285715,6.071428571428571,studytwo,26,38,7,46,16,Male,Higher,White
studytwo.49,0.6785714285714286,7.071428571428572,studytwo,44,37,10,50,15,Male,Higher,White
studytwo.5,0.875,8.285714285714286,studytwo,33,38,9,58,13,Male,Further,White
studytwo.50,0.8571428571428571,7.571428571428571,studytwo,31,40,8,48,16,Female,Higher,White
studytwo.51,0.7678571428571429,7.142857142857143,studytwo,28,35,4,54,14,Male,Higher,White
studytwo.52,0.75,7.428571428571429,studytwo,75,39,9,46,12,Male,Further,White
studytwo.53,0.7857142857142858,7.071428571428571,studytwo,38,34,10,49,18,Male,Further,White
studytwo.54,0.9285714285714286,8.285714285714286,studytwo,29,37,12,60,14,Female,Higher,White
studytwo.55,0.8214285714285714,7.428571428571429,studytwo,24,29,7,59,15,Male,Higher,Asian
studytwo.56,0.7321428571428571,7.5,studytwo,26,39,9,58,17,Male,Further,White
studytwo.57,0.8392857142857143,6.928571428571429,studytwo,19,40,9,51,15,Male,Further,White
studytwo.58,0.7321428571428571,9,studytwo,50,38,12,60,15,Male,Higher,White
studytwo.59,0.6428571428571429,5,studytwo,21,30,5,50,16,Male,Higher,Mixed
studytwo.6,0.75,6.142857142857143,studytwo,20,28,5,51,9,Female,Further,White
studytwo.60,0.8035714285714286,8,studytwo,32,40,9,51,14,Male,Higher,White
studytwo.61,0.625,4.642857142857143,studytwo,26,40,6,41,16,Male,Higher,White
studytwo.62,0.9107142857142858,9,studytwo,60,40,13,60,13,Male,Further,White
studytwo.63,0.6964285714285715,5.142857142857143,studytwo,23,33,8,57,15,Female,Higher,White
studytwo.64,0.44642857142857145,3.7857142857142856,studytwo,24,30,3,33,7,Male,Higher,White
studytwo.65,0.75,8.285714285714286,studytwo,32,37,7,63,14,Female,Secondary,White
studytwo.66,0.9821428571428571,8.857142857142858,studytwo,49,38,10,53,15,Female,Higher,White
studytwo.67,0.9464285714285714,7.642857142857143,studytwo,19,33,9,54,15,Female,Further,White
studytwo.68,0.6607142857142857,7.071428571428571,studytwo,22,38,10,49,14,Male,Higher,White
studytwo.69,0.6964285714285715,7.571428571428571,studytwo,48,31,6,59,14,Male,Secondary,White
studytwo.7,0.5357142857142858,4.285714285714286,studytwo,37,32,5,44,8,Male,Higher,White
studytwo.70,0.7321428571428571,7.071428571428571,studytwo,32,40,8,60,17,Female,Higher,White
studytwo.71,0.5535714285714286,5.357142857142857,studytwo,33,30,8,44,12,Male,Higher,White
studytwo.72,0.7678571428571429,7.285714285714286,studytwo,19,40,11,60,14,Female,Further,White
studytwo.73,0.8392857142857143,8.5,studytwo,39,33,10,62,13,Male,Further,White
