ResponseId,mean.acc,mean.self,AGE,GENDER,EDUCATION,ETHNICITY,SHIPLEY,HLVA,FACTOR3,NATIVE.LANGUAGE,study
R_2rTMBmyC8nxyjx7,0.85,7.4,19,Female,Further,White,25,6,44,English,PSYC122
R_9zdtrwA7L8WCKBj,1,8.4,18,Female,Secondary,White,33,6,48,English,PSYC122
R_poveQ0bvSluOrCx,0.75,7,18,Female,Further,White,22,9,34,English,PSYC122
R_1ocHh1I1ZyvkuTh,0.85,4.6,19,Female,Further,Asian,24,11,50,English,PSYC122
R_2ztLLWH2UZvX7ce,0.95,7.8,19,Female,Secondary,White,40,10,51,Other,PSYC122
R_Pzj4wRlzwAHFxXX,0.65,3.4,19,Female,Further,Black,23,9,48,English,PSYC122
R_3KPCldHdXVqEh8E,0.95,5.8,19,Female,Further,White,27,13,37,English,PSYC122
R_vAeXZwxNPPzzZap,0.9,7.6,18,Female,Secondary,Asian,37,6,31,Other,PSYC122
R_3EMvdiv8RgR3c1f,0.85,7.8,20,Female,Further,Mixed,34,12,48,Other,PSYC122
R_XR000PJMIGPDe6d,0.85,7,19,Female,Further,Mixed,29,11,48,English,PSYC122
R_AMQGliUI6h3gVHj,0.75,6.4,18,Female,Higher,White,34,8,51,English,PSYC122
R_3Rg3BpefTQXB6YC,0.9,6,19,Female,Further,White,39,10,30,English,PSYC122
R_2eRTG8ZkHHNGxOZ,0.95,6.8,19,Female,Further,White,32,8,40,English,PSYC122
R_r8S07gbNxmlBtAt,0.75,7.2,18,Male,Secondary,White,28,8,47,English,PSYC122
R_2OZw1R23oB0NTYg,0.95,6.8,19,Prefer-not-to-say,Further,White,40,9,62,English,PSYC122
R_1eJER0Z4zgDssfU,0.75,7.8,18,Female,Further,White,33,12,56,Other,PSYC122
R_12mP5jzvMLmsGD5,0.75,7.2,19,Male,Secondary,Asian,34,6,36,Other,PSYC122
R_2l4IILs3hL8ao8h,0.95,6.4,18,Female,Secondary,White,37,9,43,Other,PSYC122
R_21sKWpHKVNSCtU4,1,8,18,Female,Further,White,30,7,46,English,PSYC122
R_3hciYdallSGaEYy,0.85,7,19,Female,Further,White,39,11,45,English,PSYC122
R_12b78sFruyrzt4w,0.9,4.2,23,Female,Further,White,31,4,32,English,PSYC122
R_2rCa7Xf0hhZjAWq,0.8,7.2,25,Male,Further,Mixed,39,9,47,English,PSYC122
R_3q8UXObXG8gZRY5,0.95,6.8,18,Female,Further,White,32,11,47,English,PSYC122
R_2VqAwTruU24iUQd,0.9,6.6,18,Female,Secondary,Asian,24,7,45,Other,PSYC122
R_2dFI4DhPOCIXoGV,0.85,3.6,20,Female,Further,White,34,11,47,English,PSYC122
R_3KvxSZJDkYxdXPf,0.75,5.8,18,Male,Further,White,28,6,42,English,PSYC122
R_1q1Yrwtj9lXHcHk,0.8,6.6,20,Male,Secondary,White,33,7,53,Other,PSYC122
R_1r2HguYY30sVrXs,0.9,8.4,19,Non-Binary,Further,White,36,6,55,English,PSYC122
R_8czz7lYV08PWh1f,0.75,6.4,20,Female,Further,White,31,9,39,English,PSYC122
